CFPLCode,ProductName,CarbonFootprint,CompanyName
1415510001,桃園福容住宿服務,"2.6kg CO2e/ 每坪-每天",福容大飯店股份有限公司桃園分公司
1402007001,客家桔醬,"500g CO2e/ 每瓶(545g)",阿金姐工作坊
1400709003,咖啡菇(鮑魚菇),"320g CO2e/ 每盒(0.35kg)",臺南市政府環境保護局
1400709002,咖啡菇(豬肚菇),"300g CO2e/ 每盒(0.35kg)",臺南市政府環境保護局
14007090011,咖啡菇(黑木耳),"280g CO2e/ 每盒(0.35kg)",臺南市政府環境保護局
14007090010,咖啡菇(猴頭菇),"340g CO2e/ 每盒(0.35kg)",臺南市政府環境保護局
1400709009,咖啡菇(夏雪菇),"280g CO2e/ 每盒(0.35kg)",臺南市政府環境保護局
1400709008,咖啡菇(珊瑚菇),"280g CO2e/ 每盒(0.35kg)",臺南市政府環境保護局
1400709007,咖啡菇(柳松菇),"320g CO2e/ 每盒(0.35kg)",臺南市政府環境保護局
1400709006,咖啡菇(秀珍菇),"280g CO2e/ 每盒(0.35kg)",臺南市政府環境保護局
1400709005,咖啡菇(杏鮑菇),"340g CO2e/ 每盒(0.35kg)",臺南市政府環境保護局
1400709004,咖啡菇(冬雪菇),"280g CO2e/ 每盒(0.35kg)",臺南市政府環境保護局
1400709001,咖啡菇(斤耳),"280g CO2e/ 每盒(0.35kg)",臺南市政府環境保護局
1400401001,甲級鮮乳,"2.4kg CO2e/ 1瓶甲級鮮乳(1000C.C)",金門縣畜產試驗所
1401902004,一來順山藥麵線,"950g CO2e/ 100g一來順麵線",一來順貢糖
1401902003,一來順高粱麵線,"900g CO2e/ 100g一來順麵線",一來順貢糖
1401902001,一來順蔬菜麵線,"900g CO2e/ 100g一來順麵線",一來順貢糖
1401902002,一來順原味麵線,"850g CO2e/ 100g一來順麵線",一來順貢糖
1402202016,"生活運動飲料 500ml","130g CO2e/ 每ml運動飲料",三皇生物科技股份有限公司
1402202017,"生活運動飲料 300ml","65g CO2e/ 每ml運動飲料",三皇生物科技股份有限公司
1402202018,"生活運動飲料 250ml","55g CO2e/ 每ml運動飲料",三皇生物科技股份有限公司
1406810001,磨石子地磚,"4kg CO2e/ 每片",晶泰水泥加工廠股份有限公司
1406810002,磨石子地磚,"5kg CO2e/ 每片",晶泰水泥加工廠股份有限公司
1406810003,磨石子地磚,"7.5kg CO2e/ 每片",晶泰水泥加工廠股份有限公司
1406810004,磨石子地磚,"1.7kg CO2e/ 每片",晶泰水泥加工廠股份有限公司
1406810005,磨石子地磚,"3.2kg CO2e/ 每片",晶泰水泥加工廠股份有限公司
1406810006,磨石子地磚,"3.4kg CO2e/ 每片",晶泰水泥加工廠股份有限公司
1411910001,高速鐵路運輸服務,"38g CO2e/ 每延人公里",台灣高速鐵路股份有限公司
1401905005,蜜韻青檬乳酪蛋糕,"1.1kg CO2e/ 每公克",起士公爵有限公司
1401905004,楓糖蔓越莓乳酪蛋糕,"1kg CO2e/ 每1公克",起士公爵有限公司
1401905003,核果芭娜娜乳酪蛋糕,"1kg CO2e/ 每1公克",起士公爵有限公司
1401905002,北國藍莓乳酪蛋糕,"1kg CO2e/ 每1公克",起士公爵有限公司
1401905001,純粹原味乳酪蛋糕,"1kg CO2e/ 每1公克",起士公爵有限公司
1402103001,豆油伯缸底醬油,"900g CO2e/ 每瓶500毫升",六堆釀興業有限公司
1402103002,豆油伯金豆醬油,"1kg CO2e/ 每瓶500毫升",六堆釀興業有限公司
1402103003,豆油伯原味紅麴醬油,"950g CO2e/ 每瓶500毫升",六堆釀興業有限公司
1402103006,豆油伯辣豆瓣醬,"950g CO2e/ 每瓶280g",六堆釀興業有限公司
1402103004,豆油伯黑豆豉,"700g CO2e/ 每瓶280g",六堆釀興業有限公司
1402103005,豆油伯金豆豉,"800g CO2e/ 每瓶,280g",六堆釀興業有限公司
1407323007,味美不鏽鋼三層牆角架5327S,"8kg CO2e/ 每件1.5kg味美不鏽鋼三層牆角架",朝盟股份有限公司
1407323010,味美不鏽鋼衛生紙架-抽取式9307S,"2.6kg CO2e/ 每件0.54kg味美不鏽鋼衛生紙架-抽取式",朝盟股份有限公司
1407323009,味美不鏽鋼置物毛巾架-單管9310S,"7.5kg CO2e/ 每件1.86kg味美不鏽鋼置物毛巾架-單管",朝盟股份有限公司
1407323008,味美不鏽鋼置物毛巾架-雙管9322S,"10kg CO2e/ 每件2.36kg味美不鏽鋼置物毛巾架-雙管",朝盟股份有限公司
1407323005,味美不鏽鋼雙層牆角架5326S,"6kg CO2e/ 每件1.03kg味美不鏽鋼雙層牆角架",朝盟股份有限公司
1407323006,味美不鏽鋼雙層牆角架含底座9239S,"7.5kg CO2e/ 每件1.44kg味美不鏽鋼雙層牆角架含底座",朝盟股份有限公司
1407323004,味美不鏽鋼雙層牆角架9022HS,"6.5kg CO2e/ 每件1.6kg味美不鏽鋼雙層牆角架",朝盟股份有限公司
